date,n100_control,n100_th0.1_w5,n100_th0.1_w20,n100_th0.1_w40,n100_th0.125_w5,n100_th0.125_w20,n100_th0.125_w40,n100_th0.15_w5,n100_th0.15_w20,n100_th0.15_w40,n100_th0.2_w5,n100_th0.2_w20,n100_th0.2_w40,n100_th0.25_w5,n100_th0.25_w20,n100_th0.25_w40,mid_control,mid_th0.1_w5,mid_th0.1_w20,mid_th0.1_w40,mid_th0.125_w5,mid_th0.125_w20,mid_th0.125_w40,mid_th0.15_w5,mid_th0.15_w20,mid_th0.15_w40,mid_th0.2_w5,mid_th0.2_w20,mid_th0.2_w40,mid_th0.25_w5,mid_th0.25_w20,mid_th0.25_w40
2021-10-26,1962069.7174884712,1919620.2963246247,1919620.2963246247,1996038.9971253925,1962109.1347543325,1962109.1347543325,2037623.431028194,1855426.0905336654,1855426.0905336654,1927586.7411640463,1962069.7174884712,1962069.7174884712,1962069.7174884712,1962069.7174884712,1962069.7174884712,1962069.7174884712,2526799.27372482,2626420.014066577,2626420.014066577,2569238.918750238,2512062.218277501,2459143.589951361,2253835.4212321006,2462546.9996690773,2409821.0302051385,2208262.302630929,2526799.27372482,2526799.27372482,2526799.27372482,2526799.27372482,2526799.27372482,2526799.27372482
2021-10-27,1964736.087488471,1922173.1863246248,1922173.1863246248,1998740.0071253923,1964775.5047543324,1964775.5047543324,2040338.7710281939,1857936.0705336654,1857936.0705336654,1930183.421164046,1964736.087488471,1964736.087488471,1964736.087488471,1964736.087488471,1964736.087488471,1964736.087488471,2534274.3737248196,2634179.374066577,2634179.374066577,2576869.668750238,2519467.8582775006,2466414.3399513606,2260477.091232101,2469814.1596690775,2416954.8602051386,2214759.132630929,2534274.3737248196,2534274.3737248196,2534274.3737248196,2534274.3737248196,2534274.3737248196,2534274.3737248196
2021-10-28,1920641.8974884716,1878976.6563246248,1878976.6563246248,1953859.3571253926,1920681.3147543329,1920681.3147543329,1994456.8710281942,1816212.8405336654,1816212.8405336654,1886784.6011640462,1920641.8974884716,1920641.8974884716,1920641.8974884716,1920641.8974884716,1920641.8974884716,1920641.8974884716,2516915.4937248197,2616143.514066577,2616143.514066577,2559202.2087502386,2502223.4782775007,2449523.129951361,2244986.281232101,2452907.609669077,2400418.6102051386,2199595.8926309287,2516915.4937248197,2516915.4937248197,2516915.4937248197,2516915.4937248197,2516915.4937248197,2516915.4937248197
2021-10-29,1915559.6444584716,1874010.4372196249,1874010.4372196249,1948674.0259253925,1915599.0617243329,1915599.0617243329,1989186.4776731937,1811387.6991636655,1811387.6991636655,1881771.124124046,1915559.6444584716,1915559.6444584716,1915559.6444584716,1915559.6444584716,1915559.6444584716,1915559.6444584716,2520210.43438532,2619593.1107507767,2619593.1107507767,2562630.143798488,2505580.5611648015,2452722.576183511,2247964.176568151,2456123.093082027,2403585.822406888,2202440.4741984294,2520210.43438532,2520210.43438532,2520210.43438532,2520210.43438532,2520210.43438532,2520210.43438532
2021-11-01,1939123.564458471,1896981.5372196245,1896981.5372196245,1972575.4359253927,1939162.9817243323,1939162.9817243323,2013667.6476731938,1833608.7291636653,1833608.7291636653,1904846.8841240457,1939123.564458471,1939123.564458471,1939123.564458471,1939123.564458471,1939123.564458471,1939123.564458471,2538358.6283853194,2638470.3903507767,2638470.3903507767,2581224.5097984886,2523661.3135648016,2470356.3153835107,2264158.518968151,2473756.312682027,2420950.9364068885,2218174.924198429,2538358.6283853194,2538358.6283853194,2538358.6283853194,2538358.6283853194,2538358.6283853194,2538358.6283853194
2021-11-02,1969836.4344584711,1927060.2972196245,1927060.2972196245,2003861.3559253928,1969875.8517243324,1969875.8517243324,2045563.217673194,1862699.6691636653,1862699.6691636653,1935060.6541240457,1969836.4344584711,1969836.4344584711,1969836.4344584711,1969836.4344584711,1969836.4344584711,1969836.4344584711,2536244.98638532,2636308.4435507767,2636308.4435507767,2579121.6167984884,2521599.3243648014,2468330.1667835107,2262253.834768151,2471711.450882027,2418948.629406888,2216265.804198429,2536244.98638532,2536244.98638532,2536244.98638532,2536244.98638532,2536244.98638532,2536244.98638532
2021-11-03,1964241.7844584712,1921547.9672196247,1921547.9672196247,1998142.5659253926,1964281.2017243325,1964281.2017243325,2039762.4976731937,1857398.5091636654,1857398.5091636654,1929524.494124046,1964241.7844584712,1964241.7844584712,1964241.7844584712,1964241.7844584712,1964241.7844584712,1964241.7844584712,2539762.3613853203,2639958.775550777,2639958.775550777,2582730.4492984884,2525129.7073648013,2471755.378283511,2265393.9352681506,2475137.0503820274,2422334.1769068884,2219303.8291984294,2539762.3613853203,2539762.3613853203,2539762.3613853203,2539762.3613853203,2539762.3613853203,2539762.3613853203
2021-11-04,1992115.824458471,1948863.3172196248,1948863.3172196248,2026542.1359253926,1992155.2417243323,1992155.2417243323,2068700.4376731939,1883796.419163665,1883796.419163665,1956955.1141240457,1992115.824458471,1992115.824458471,1992115.824458471,1992115.824458471,1992115.824458471,1992115.824458471,2553841.39238532,2654602.6919507766,2654602.6919507766,2597069.745798488,2539121.8039648016,2485442.0785835106,2277951.5993681513,2488842.694282027,2435770.6204068884,2231585.6241984293,2553841.39238532,2553841.39238532,2553841.39238532,2553841.39238532,2553841.39238532,2553841.39238532
2021-11-08,2054906.4444584711,2010442.5472196245,2010442.5472196245,2090534.9859253925,2054945.8617243324,2054945.8617243324,2133927.227673194,1943287.2591636656,1943287.2591636656,2018731.4841240458,2054906.4444584711,2054906.4444584711,2054906.4444584711,2054906.4444584711,2054906.4444584711,2054906.4444584711,2562186.0733853197,2663250.526350777,2663250.526350777,2605628.7222984885,2547445.9025648013,2493559.7848835113,2285409.5054681506,2496948.716182027,2443737.3939068886,2238809.3191984296,2562186.0733853197,2562186.0733853197,2562186.0733853197,2562186.0733853197,2562186.0733853197,2562186.0733853197
2021-11-09,2055510.1044584715,2011029.6172196248,2011029.6172196248,2091160.9159253924,2055549.5217243328,2055549.5217243328,2134531.127673194,1943865.749163665,1943865.749163665,2019340.1841240458,2055510.1044584715,2055510.1044584715,2055510.1044584715,2055510.1044584715,2055510.1044584715,2055510.1044584715,2578083.66138532,2679765.327550777,2679765.327550777,2621868.4142984888,2563304.2553648017,2509058.8372835107,2299588.398268151,2512453.367382027,2458898.8219068884,2252642.5391984293,2578083.66138532,2578083.66138532,2578083.66138532,2578083.66138532,2578083.66138532,2578083.66138532
