old,new,effective,circular,names
INFIBEAM,CCAVENUE,2026-02-03,CML72519.pdf,Infibeam Avenues Limited AvenuesAI Limited
ARISINFRA,ARIS,2026-02-09,CML72592.pdf,Arisinfra Solutions Limited
MEGASOFT,SIGMAADV,2026-02-09,CML72598.pdf,Megasoft Limited SIGMA ADVANCED SYSTEMS
SABTNL,AQYLON,2026-02-11,CML72650.pdf,Sri Adhikari Brothers Television Aqylon Nexus Limited
LTIM,LTM,2026-02-27,CML72948.pdf,LTIMindtree Limited
EXCEL,LANDSMILL,2026-04-02,CML73456.pdf,Excel Realty N Infra Limited Landsmill Green Limited
AKZOINDIA,JSWDULUX,2026-04-15,CML73652.pdf,Akzo Nobel India Limited JSW Dulux Limited
SASTASUNDR,HEALTHX,2026-04-30,CML73885.pdf,Sastasundar Ventures Limited Health X Platform Limited
VISASTEEL,VISACHROME,2026-05-20,CML74213.pdf,Visa Steel Limited VISA Chrome Limited
AMBEY,DHANSA,2026-06-01,CML74394.pdf,Ambey Laboratories Limited Dhansa Labs Limited
MIRCELECTR,ONIDA,2026-06-19,CML74716.pdf,MIRC Electronics Limited Onida Electronics Limited
GUJGASLTD,GUJENERGY,2026-07-01,CML74850.pdf,Gujarat Gas Limited GUJARAT ENERGY LIMITED
AXIS,MUTUAL,2026-07-03,CML74923.pdf,FUND - Axis NIFTY 50 ETF - INF846K01W98 AXISNIFTY NIFTYAXIS
LYPSAGEMS,AURUS,2026-07-14,CML75101.pdf,Lypsa Gems & Jewellery AURUS GEM
AMIRCHAND,AEROPLANE,2026-07-20,CML75196.pdf,Amir Chand Jagdish Kumar (Exports) Limited
ASHIKA,ASHIKAG,2026-07-27,CML75304.pdf,Ashika Credit Capital Limited Ashika Global Securities Limited
KEL,VISDEM,2026-08-06,CML75507.pdf,Kundan Edifice Limited Visdem Technosys Limited
